time_iso_utc,time_unix_ms,price_usd
2024-12-06T23:03:29.372000+00:00,1733526209372,238.07341381
2024-12-07T00:03:29.367000+00:00,1733529809367,237.08967983
2024-12-07T01:03:24.700000+00:00,1733533404700,236.40123226
2024-12-07T02:03:28.630000+00:00,1733537008630,236.06461420
2024-12-07T03:01:14.629000+00:00,1733540474629,236.04842610
2024-12-07T04:02:41.916000+00:00,1733544161916,235.11762689
2024-12-07T05:01:12.283000+00:00,1733547672283,235.68071511
2024-12-07T06:03:33.967000+00:00,1733551413967,235.70293406
2024-12-07T07:04:29.903000+00:00,1733555069903,236.24566924
2024-12-07T08:01:05.033000+00:00,1733558465033,236.61797118
2024-12-07T09:00:35.133000+00:00,1733562035133,235.98954497
2024-12-07T10:03:26.888000+00:00,1733565806888,238.54984495
2024-12-07T11:01:26.191000+00:00,1733569286191,238.43847163
2024-12-07T12:02:17.937000+00:00,1733572937937,238.67411895
2024-12-07T13:00:56.987000+00:00,1733576456987,238.16003252
2024-12-07T14:03:23.809000+00:00,1733580203809,239.14327088
2024-12-07T15:03:31.800000+00:00,1733583811800,242.51788671
2024-12-07T16:03:06.916000+00:00,1733587386916,241.14808372
2024-12-07T17:03:33.301000+00:00,1733591013301,242.03303620
2024-12-07T18:00:47.995000+00:00,1733594447995,240.87146207
2024-12-07T19:01:29.839000+00:00,1733598089839,242.56239918
2024-12-07T20:00:15.638000+00:00,1733601615638,241.60019371
2024-12-07T21:03:15.312000+00:00,1733605395312,241.53597966
2024-12-07T22:03:06.588000+00:00,1733608986588,241.73919623
2024-12-07T23:01:35.019000+00:00,1733612495019,239.21123285
2024-12-08T00:03:42.338000+00:00,1733616222338,238.73660295
2024-12-08T01:01:52.339000+00:00,1733619712339,239.56196925
2024-12-08T02:02:06.575000+00:00,1733623326575,239.43362504
2024-12-08T03:01:04.730000+00:00,1733626864730,240.91892663
2024-12-08T04:03:15.805000+00:00,1733630595805,240.82916757
2024-12-08T05:03:24.948000+00:00,1733634204948,238.83594947
2024-12-08T06:03:32.832000+00:00,1733637812832,236.97133992
2024-12-08T07:03:20.839000+00:00,1733641400839,238.27796850
2024-12-08T08:03:27.035000+00:00,1733645007035,237.88596516
2024-12-08T09:02:04.226000+00:00,1733648524226,235.07820827
2024-12-08T10:03:23.897000+00:00,1733652203897,234.20163290
2024-12-08T11:02:57.146000+00:00,1733655777146,235.40053352
2024-12-08T12:03:32.756000+00:00,1733659412756,236.23627258
2024-12-08T13:03:31.534000+00:00,1733663011534,236.05671282
2024-12-08T14:03:15.571000+00:00,1733666595571,237.59939382
2024-12-08T15:03:28.847000+00:00,1733670208847,236.05615604
2024-12-08T16:00:29.429000+00:00,1733673629429,237.52395564
2024-12-08T17:03:30.952000+00:00,1733677410952,236.08213258
2024-12-08T18:06:09.403000+00:00,1733681169403,236.74115422
2024-12-08T19:03:28.789000+00:00,1733684608789,235.30679328
2024-12-08T20:02:31.854000+00:00,1733688151854,236.32421721
2024-12-08T21:02:23.776000+00:00,1733691743776,235.40599604
2024-12-08T22:03:17.663000+00:00,1733695397663,235.76949244
2024-12-08T23:03:27.362000+00:00,1733699007362,236.82799472
2024-12-09T00:03:36.124000+00:00,1733702616124,237.25023526
2024-12-09T01:01:39.702000+00:00,1733706099702,233.60975422
2024-12-09T02:02:13.290000+00:00,1733709733290,232.65090343
2024-12-09T03:02:16.347000+00:00,1733713336347,231.63008390
2024-12-09T04:05:15.473000+00:00,1733717115473,231.90574028
2024-12-09T05:02:28.052000+00:00,1733720548052,232.63588331
2024-12-09T06:03:10.501000+00:00,1733724190501,232.49442753
2024-12-09T07:03:21.056000+00:00,1733727801056,230.62575223
2024-12-09T08:03:01.089000+00:00,1733731381089,231.79963085
2024-12-09T09:07:59.780000+00:00,1733735279780,227.24955342
2024-12-09T10:01:16.860000+00:00,1733738476860,226.75380347
2024-12-09T11:03:22.230000+00:00,1733742202230,227.88675153
2024-12-09T12:00:42.950000+00:00,1733745642950,226.22336314
2024-12-09T13:03:40.711000+00:00,1733749420711,227.43982148
2024-12-09T14:03:35.767000+00:00,1733753015767,229.12447163
2024-12-09T15:03:25.904000+00:00,1733756605904,231.35420037
2024-12-09T16:03:13.773000+00:00,1733760193773,224.44358405
2024-12-09T17:03:22.432000+00:00,1733763802432,224.86102419
2024-12-09T18:01:05.602000+00:00,1733767265602,223.35324907
2024-12-09T19:03:21.406000+00:00,1733771001406,224.17529567
2024-12-09T20:03:37.924000+00:00,1733774617924,222.16842042
2024-12-09T21:01:53.150000+00:00,1733778113150,219.68934551
2024-12-09T22:01:48.734000+00:00,1733781708734,218.18717860
2024-12-09T23:03:23.853000+00:00,1733785403853,217.61316510
2024-12-10T00:03:52.451000+00:00,1733789032451,217.31956230
2024-12-10T01:05:30.014000+00:00,1733792730014,218.14300022
2024-12-10T02:03:42.273000+00:00,1733796222273,218.98560042
2024-12-10T03:03:42.992000+00:00,1733799822992,213.40029780
2024-12-10T04:02:09.974000+00:00,1733803329974,215.23325915
2024-12-10T05:03:44.649000+00:00,1733807024649,216.28152918
2024-12-10T06:03:29.663000+00:00,1733810609663,216.21387391
2024-12-10T07:03:41.538000+00:00,1733814221538,218.53029782
2024-12-10T08:02:36.911000+00:00,1733817756911,217.31313197
2024-12-10T09:03:27.394000+00:00,1733821407394,217.34571084
2024-12-10T10:03:53.041000+00:00,1733825033041,217.16474956
2024-12-10T11:03:36.161000+00:00,1733828616161,217.39681648
2024-12-10T12:03:45.732000+00:00,1733832225732,216.38115080
2024-12-10T13:03:42.279000+00:00,1733835822279,211.62394114
2024-12-10T14:03:48.260000+00:00,1733839428260,214.77992693
2024-12-10T15:02:56.263000+00:00,1733842976263,216.63047827
2024-12-10T16:07:59.548000+00:00,1733846879548,207.82746319
2024-12-10T17:03:31.497000+00:00,1733850211497,210.86070474
2024-12-10T18:03:22.020000+00:00,1733853802020,205.09309330
2024-12-10T19:03:42.508000+00:00,1733857422508,208.82340360
2024-12-10T20:03:55.770000+00:00,1733861035770,212.07286576
2024-12-10T21:02:45.454000+00:00,1733864565454,213.43766316
2024-12-10T22:03:29.205000+00:00,1733868209205,214.46744799
2024-12-10T23:01:25.588000+00:00,1733871685588,214.58975282
2024-12-11T00:00:09.846000+00:00,1733875209846,213.52687206
2024-12-11T01:03:32.545000+00:00,1733879012545,214.56506537
2024-12-11T02:02:21.953000+00:00,1733882541953,212.27641916
2024-12-11T03:02:10.524000+00:00,1733886130524,216.12537083
2024-12-11T04:01:23.268000+00:00,1733889683268,218.66536700
2024-12-11T05:03:47.916000+00:00,1733893427916,219.06873213
2024-12-11T06:03:44.428000+00:00,1733897024428,218.12506333
2024-12-11T07:03:43.311000+00:00,1733900623311,220.06896246
2024-12-11T08:03:14.519000+00:00,1733904194519,218.76899572
2024-12-11T09:02:09.713000+00:00,1733907729713,221.99645950
2024-12-11T10:03:54.761000+00:00,1733911434761,222.45232914
2024-12-11T11:02:55.209000+00:00,1733914975209,223.85580042
2024-12-11T12:03:51.519000+00:00,1733918631519,225.11376354
2024-12-11T13:03:42.271000+00:00,1733922222271,224.86996375
2024-12-11T14:03:47.143000+00:00,1733925827143,226.70279681
2024-12-11T15:00:23.230000+00:00,1733929223230,227.37360716
2024-12-11T16:02:21.035000+00:00,1733932941035,228.98742789
2024-12-11T17:03:43.980000+00:00,1733936623980,229.57925667
2024-12-11T18:02:43.386000+00:00,1733940163386,227.78554111
2024-12-11T19:03:40.686000+00:00,1733943820686,228.56785620
2024-12-11T20:06:46.178000+00:00,1733947606178,230.36776029
2024-12-11T21:02:33.843000+00:00,1733950953843,228.94747680
2024-12-11T22:03:43.899000+00:00,1733954623899,229.40077760
2024-12-11T23:03:41.555000+00:00,1733958221555,228.33578511
2024-12-12T00:03:47.253000+00:00,1733961827253,227.42797705
2024-12-12T01:02:52.410000+00:00,1733965372410,227.30760404
2024-12-12T02:03:46.484000+00:00,1733969026484,226.23275668
2024-12-12T03:02:16.428000+00:00,1733972536428,229.74515590
2024-12-12T04:03:36.845000+00:00,1733976216845,230.47937148
2024-12-12T05:03:38.842000+00:00,1733979818842,229.61164022
2024-12-12T06:03:20.963000+00:00,1733983400963,231.55427416
2024-12-12T07:04:19.862000+00:00,1733987059862,230.25267291
2024-12-12T08:01:20.276000+00:00,1733990480276,230.10801397
2024-12-12T09:04:00.242000+00:00,1733994240242,232.37501321
2024-12-12T10:03:37.258000+00:00,1733997817258,232.25328499
2024-12-12T11:07:58.058000+00:00,1734001678058,229.82191221
2024-12-12T12:06:29.749000+00:00,1734005189749,230.05475503
2024-12-12T13:03:37.247000+00:00,1734008617247,231.21544082
2024-12-12T14:02:01.967000+00:00,1734012121967,229.64721987
2024-12-12T15:03:42.300000+00:00,1734015822300,232.30210957
2024-12-12T16:03:36.247000+00:00,1734019416247,231.46682405
2024-12-12T17:00:45.738000+00:00,1734022845738,230.71169514
2024-12-12T18:02:08.190000+00:00,1734026528190,234.11003119
2024-12-12T19:01:52.393000+00:00,1734030112393,231.44097052
2024-12-12T20:03:43.889000+00:00,1734033823889,227.18072706
2024-12-12T21:03:33.289000+00:00,1734037413289,228.79869109
2024-12-12T22:03:34.576000+00:00,1734041014576,227.94915705
2024-12-12T23:03:24.732000+00:00,1734044604732,227.98985013
2024-12-13T00:03:49.625000+00:00,1734048229625,227.01467710
2024-12-13T01:01:46.005000+00:00,1734051706005,227.38949074
2024-12-13T02:03:46.234000+00:00,1734055426234,225.90999668
2024-12-13T03:02:49.575000+00:00,1734058969575,227.47933342
2024-12-13T04:02:18.731000+00:00,1734062538731,227.70920229
2024-12-13T05:00:49.487000+00:00,1734066049487,226.19362105
2024-12-13T06:03:34.932000+00:00,1734069814932,225.75683416
2024-12-13T07:03:35.725000+00:00,1734073415725,224.95320219
2024-12-13T08:03:49.590000+00:00,1734077029590,224.82334684
2024-12-13T09:03:50.991000+00:00,1734080630991,226.12870949
2024-12-13T10:03:48.288000+00:00,1734084228288,225.37267821
2024-12-13T11:01:04.147000+00:00,1734087664147,226.35575539
2024-12-13T12:04:20.454000+00:00,1734091460454,225.88825974
2024-12-13T13:02:45.414000+00:00,1734094965414,225.31848709
2024-12-13T14:01:44.625000+00:00,1734098504625,223.89525700
2024-12-13T15:03:43.145000+00:00,1734102223145,224.06385029
2024-12-13T16:03:49.890000+00:00,1734105829890,221.24668293
2024-12-13T17:08:35.315000+00:00,1734109715315,221.40955576
2024-12-13T18:03:44.275000+00:00,1734113024275,223.42943708
2024-12-13T19:00:35.245000+00:00,1734116435245,222.02735994
2024-12-13T20:00:52.996000+00:00,1734120052996,223.52101597
2024-12-13T21:03:50.661000+00:00,1734123830661,223.90143070
2024-12-13T22:03:37.361000+00:00,1734127417361,223.72964723
2024-12-13T23:03:31.259000+00:00,1734131011259,223.60724434
2024-12-14T00:03:44.096000+00:00,1734134624096,224.59546332
2024-12-14T01:03:37.511000+00:00,1734138217511,224.38405439
2024-12-14T02:03:47.988000+00:00,1734141827988,225.74116265
2024-12-14T03:03:50.394000+00:00,1734145430394,225.70797521
2024-12-14T04:03:43.893000+00:00,1734149023893,226.14516323
2024-12-14T05:03:40.049000+00:00,1734152620049,225.64892952
2024-12-14T06:02:17.280000+00:00,1734156137280,225.88127075
2024-12-14T07:03:45.268000+00:00,1734159825268,226.78172054
2024-12-14T08:00:38.371000+00:00,1734163238371,226.15004147
2024-12-14T09:03:36.912000+00:00,1734167016912,226.55129689
2024-12-14T10:03:02.285000+00:00,1734170582285,225.98681867
2024-12-14T11:01:09.908000+00:00,1734174069908,225.08433175
2024-12-14T12:01:44.135000+00:00,1734177704135,224.57595350
2024-12-14T13:03:51.054000+00:00,1734181431054,222.22408858
2024-12-14T14:05:28.049000+00:00,1734185128049,221.25597654
2024-12-14T15:03:49.756000+00:00,1734188629756,221.96716544
2024-12-14T16:02:06.161000+00:00,1734192126161,222.58233860
2024-12-14T17:03:52.831000+00:00,1734195832831,221.72993256
2024-12-14T18:03:04.969000+00:00,1734199384969,218.34063396
2024-12-14T19:08:28.453000+00:00,1734203308453,217.97494197
2024-12-14T20:03:42.447000+00:00,1734206622447,218.05675939
2024-12-14T21:03:46.685000+00:00,1734210226685,215.53604799
2024-12-14T22:03:50.297000+00:00,1734213830297,217.46203002
2024-12-14T23:08:25.868000+00:00,1734217705868,218.01372129
2024-12-15T00:02:33.207000+00:00,1734220953207,219.88046495
2024-12-15T01:03:44.733000+00:00,1734224624733,219.85733842
2024-12-15T02:05:09.792000+00:00,1734228309792,221.32614554
2024-12-15T03:01:15.162000+00:00,1734231675162,221.48141514
2024-12-15T04:03:41.331000+00:00,1734235421331,219.61094524
2024-12-15T05:03:43.186000+00:00,1734239023186,220.29656156
2024-12-15T06:03:40.561000+00:00,1734242620561,220.09679108
2024-12-15T07:01:38.931000+00:00,1734246098931,218.54114546
2024-12-15T08:01:54.242000+00:00,1734249714242,217.10189244
2024-12-15T09:03:25.139000+00:00,1734253405139,218.45406224
2024-12-15T10:02:17.464000+00:00,1734256937464,219.21784638
2024-12-15T11:03:48.719000+00:00,1734260628719,218.65750648
2024-12-15T12:03:53.267000+00:00,1734264233267,218.50813786
2024-12-15T13:03:49+00:00,1734267829000,219.40281623
2024-12-15T14:00:05.256000+00:00,1734271205256,220.09043218
2024-12-15T15:03:50.667000+00:00,1734275030667,221.00977841
2024-12-15T16:06:06.636000+00:00,1734278766636,220.57383408
2024-12-15T17:03:50.637000+00:00,1734282230637,221.83161716
2024-12-15T18:03:49.744000+00:00,1734285829744,221.28591177
2024-12-15T19:00:21.798000+00:00,1734289221798,220.90286171
2024-12-15T20:00:37.204000+00:00,1734292837204,221.57967995
2024-12-15T21:03:38.744000+00:00,1734296618744,220.51160555
2024-12-15T22:03:38.545000+00:00,1734300218545,216.91927367
2024-12-15T23:03:44.006000+00:00,1734303824006,219.01636389
2024-12-16T00:03:38.745000+00:00,1734307418745,224.53658893
2024-12-16T01:03:59.840000+00:00,1734311039840,225.79284823
2024-12-16T02:03:45.009000+00:00,1734314625009,225.58955413
2024-12-16T03:03:50.417000+00:00,1734318230417,222.41863103
2024-12-16T04:03:43.590000+00:00,1734321823590,221.06329784
2024-12-16T05:03:47.479000+00:00,1734325427479,221.39607112
2024-12-16T06:03:48.787000+00:00,1734329028787,222.17381589
2024-12-16T07:03:41.031000+00:00,1734332621031,222.40688353
2024-12-16T08:03:55.084000+00:00,1734336235084,222.70905777
2024-12-16T09:03:58.027000+00:00,1734339838027,220.18063193
2024-12-16T10:03:42.412000+00:00,1734343422412,219.39319707
2024-12-16T11:02:30.732000+00:00,1734346950732,217.86317631
2024-12-16T12:03:47.120000+00:00,1734350627120,214.02318766
2024-12-16T13:03:56.770000+00:00,1734354236770,214.56816962
2024-12-16T14:00:52.721000+00:00,1734357652721,216.11619519
2024-12-16T15:03:54.607000+00:00,1734361434607,216.92952843
2024-12-16T16:03:03.186000+00:00,1734364983186,217.11455457
2024-12-16T17:03:53.034000+00:00,1734368633034,218.74355767
2024-12-16T18:08:30.813000+00:00,1734372510813,219.38754581
2024-12-16T19:03:50.334000+00:00,1734375830334,221.23405587
2024-12-16T20:03:55.810000+00:00,1734379435810,218.87280564
2024-12-16T21:03:57.938000+00:00,1734383037938,216.56835466
2024-12-16T22:04:01.837000+00:00,1734386641837,218.47232500
2024-12-16T23:03:45.184000+00:00,1734390225184,217.81276906
2024-12-17T00:03:58.672000+00:00,1734393838672,216.62738532
2024-12-17T01:00:16.798000+00:00,1734397216798,214.36685545
2024-12-17T02:00:55.607000+00:00,1734400855607,214.67941212
2024-12-17T03:03:48.962000+00:00,1734404628962,213.72150475
2024-12-17T04:02:23.073000+00:00,1734408143073,215.38921894
2024-12-17T05:08:28.338000+00:00,1734412108338,214.50489832
2024-12-17T06:08:32.360000+00:00,1734415712360,215.11408377
2024-12-17T07:00:38.062000+00:00,1734418838062,214.90171446
2024-12-17T08:03:06.382000+00:00,1734422586382,215.57417203
2024-12-17T09:03:46.302000+00:00,1734426226302,217.28496890
2024-12-17T10:03:52.592000+00:00,1734429832592,221.76474639
2024-12-17T11:03:54.328000+00:00,1734433434328,222.79243086
2024-12-17T12:03:51.987000+00:00,1734437031987,221.83902168
2024-12-17T13:02:51.065000+00:00,1734440571065,226.98468831
2024-12-17T14:02:45.296000+00:00,1734444165296,223.74972280
2024-12-17T15:03:46.597000+00:00,1734447826597,221.83720816
2024-12-17T16:02:25.928000+00:00,1734451345928,220.50403647
2024-12-17T17:03:59.391000+00:00,1734455039391,226.99291415
2024-12-17T18:00:55.217000+00:00,1734458455217,227.12084567
2024-12-17T19:03:54.962000+00:00,1734462234962,227.62133250
2024-12-17T20:01:16.969000+00:00,1734465676969,227.69138692
2024-12-17T21:00:35.627000+00:00,1734469235627,227.40187110
2024-12-17T22:03:58.143000+00:00,1734473038143,225.44276068
2024-12-17T23:03:43.787000+00:00,1734476623787,223.89571881
2024-12-18T00:03:30.680000+00:00,1734480210680,223.16641775
2024-12-18T01:01:55.702000+00:00,1734483715702,224.09827233
2024-12-18T02:03:42.348000+00:00,1734487422348,218.80814549
2024-12-18T03:03:05.030000+00:00,1734490985030,218.74681203
2024-12-18T04:03:44.333000+00:00,1734494624333,217.53192597
2024-12-18T05:03:35.945000+00:00,1734498215945,216.77230090
2024-12-18T06:03:01.897000+00:00,1734501781897,215.87304420
2024-12-18T07:03:49.193000+00:00,1734505429193,215.29563558
2024-12-18T08:08:26.844000+00:00,1734509306844,215.73317912
2024-12-18T09:03:49.619000+00:00,1734512629619,215.82085922
2024-12-18T10:03:39.406000+00:00,1734516219406,216.71089828
2024-12-18T11:03:49.579000+00:00,1734519829579,217.35179962
2024-12-18T12:03:41.027000+00:00,1734523421027,217.83035794
2024-12-18T13:01:04.131000+00:00,1734526864131,216.83422053
2024-12-18T14:00:47.884000+00:00,1734530447884,216.35124632
2024-12-18T15:03:46.835000+00:00,1734534226835,214.95116349
2024-12-18T16:01:56.817000+00:00,1734537716817,217.56621869
2024-12-18T17:00:25.501000+00:00,1734541225501,216.73680276
2024-12-18T18:03:40.371000+00:00,1734545020371,216.71685165
2024-12-18T19:03:39.840000+00:00,1734548619840,217.66950391
2024-12-18T20:01:22.073000+00:00,1734552082073,212.91968372
2024-12-18T21:03:42.117000+00:00,1734555822117,207.15280627
2024-12-18T22:03:29.555000+00:00,1734559409555,208.28991278
2024-12-18T23:03:51.683000+00:00,1734563031683,206.73954366
2024-12-19T00:08:30.591000+00:00,1734566910591,206.91105641
2024-12-19T01:06:39.342000+00:00,1734570399342,207.53388578
2024-12-19T02:08:10.976000+00:00,1734574090976,203.30907239
